               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096469,             0.05255,            0.017512,             0.16901,             0.34756,             0.11318,            0.032358,            0.068522,            0.038796,           0.0026269,            0.070455,           0.0032828,           0.0032828
                   1,            0.072049,             0.04718,           0.0023026,             0.25671,             0.49161,             0.22313,            0.076073,            0.066037,            0.022679,           0.0013219,            0.040389,           0.0065507,           0.0065507
                   2,            0.068268,            0.040062,           0.0019014,             0.35181,             0.50551,             0.38015,             0.11397,            0.054502,            0.023877,           0.0014106,            0.010258,           0.0097525,           0.0097525
                   3,            0.062249,            0.039489,           0.0018296,             0.54322,              0.5954,             0.54531,             0.21572,            0.044623,             0.02293,           0.0011696,            0.009703,            0.009703,            0.009703
                   4,            0.054425,            0.037663,            0.001493,             0.68351,             0.67761,             0.71526,              0.3087,            0.040646,              0.0223,           0.0008957,            0.009703,            0.009703,            0.009703
                   5,            0.050817,            0.040718,           0.0011303,             0.73454,             0.73921,             0.76232,             0.33487,            0.039657,            0.021855,           0.0009421,            0.009604,            0.009604,            0.009604
                   6,            0.050089,            0.038905,          0.00093022,             0.75313,             0.73274,             0.77754,             0.33161,             0.04007,              0.0203,           0.0007552,            0.009505,            0.009505,            0.009505
                   7,            0.049197,             0.03832,          0.00086196,             0.81291,             0.80191,             0.84942,             0.37449,            0.037871,            0.020117,          0.00071616,            0.009406,            0.009406,            0.009406
                   8,            0.046887,            0.034579,          0.00083707,             0.81382,             0.81722,             0.85801,             0.41551,            0.035729,             0.02039,          0.00073777,            0.009307,            0.009307,            0.009307
                   9,             0.04566,            0.038824,          0.00067695,             0.85406,             0.81831,             0.87426,             0.42613,            0.036778,            0.019539,          0.00060494,            0.009208,            0.009208,            0.009208
                  10,            0.045646,            0.039173,          0.00062238,             0.86457,             0.83393,               0.897,             0.44868,            0.035118,             0.01901,          0.00055619,            0.009109,            0.009109,            0.009109
                  11,            0.045005,            0.035402,          0.00058288,             0.86104,             0.81984,             0.88542,             0.44571,            0.034087,            0.019404,          0.00046594,             0.00901,             0.00901,             0.00901
                  12,            0.045049,            0.035266,          0.00056425,             0.87148,             0.85818,             0.91309,             0.46556,            0.033624,            0.018749,          0.00054391,            0.008911,            0.008911,            0.008911
                  13,            0.043013,            0.032814,          0.00058108,              0.8739,             0.86211,             0.91434,             0.45995,              0.0334,            0.018626,          0.00052028,            0.008812,            0.008812,            0.008812
                  14,            0.044443,            0.039074,          0.00049828,             0.89148,             0.87152,             0.92266,             0.49657,            0.031432,             0.01812,          0.00040285,            0.008713,            0.008713,            0.008713
                  15,            0.041712,            0.035286,          0.00045747,             0.86922,             0.88892,               0.921,             0.46679,            0.032934,            0.018268,          0.00040392,            0.008614,            0.008614,            0.008614
